"","vsly_m","vsly_f","vsly_all","ISO_Code","DisplayString"
"Albania",17294.4361575778,13869.4782471243,15581.9572023511,"ALB","Albania"
"Andorra",80548.6483290742,70843.8365379142,75696.2424334942,"AND","Andorra"
"Armenia",19353.0254576629,15605.6769607543,17479.3512092086,"ARM","Armenia"
"Austria",124740.108949092,108869.955294531,116805.032121812,"AUT","Austria"
"Azerbaijan",20394.7367649897,15415.3254888971,17905.0311269434,"AZE","Azerbaijan"
"Belgium",120224.282501939,103968.367487168,112096.324994554,"BEL","Belgium"
"Bulgaria",31040.7285628727,23985.9912702381,27513.3599165554,"BGR","Bulgaria"
"Bosnia and Herzegovina",19057.4105936819,16286.8100572659,17672.1103254739,"BIH","Bosnia and Herzegovina"
"Belarus",37657.9855754857,26233.8061428495,31945.8958591676,"BLR","Belarus"
"Switzerland",197194.396005034,178736.096524918,187965.246264976,"CHE","Switzerland"
"Cyprus",73459.8503656745,60185.6627382173,66822.7565519459,"CYP","Cyprus"
"Czech Republic",63878.703029518,53385.9681626601,58632.3355960891,"CZE","Czech Republic"
"Germany",121868.896227337,105376.916143303,113622.90618532,"DEU","Germany"
"Denmark",154144.048998596,136959.981877246,145552.015437921,"DNK","Denmark"
"Spain",81405.3723518164,69205.9469398618,75305.6596458391,"ESP","Spain"
"Estonia",60415.450633874,45974.5044604203,53194.9775471472,"EST","Estonia"
"Finland",123597.566809009,104351.380535149,113974.473672079,"FIN","Finland"
"France",104957.143820325,88681.4290861263,96819.2864532255,"FRA","France"
"United Kingdom",134440.628341473,121251.089849428,127845.859095451,"GBR","United Kingdom"
"Georgia",7951.45297994156,7398.41805102311,7674.93551548234,"GEO","Georgia"
"Greece",62989.2918086235,54122.3011874131,58555.7964980183,"GRC","Greece"
"Croatia",45033.7579551098,36824.3111361339,40929.0345456219,"HRV","Croatia"
"Hungary",51800.2778551592,40566.6769813163,46183.4774182377,"HUN","Hungary"
"Ireland",165304.052654914,148838.845495903,157071.449075409,"IRL","Ireland"
"Iceland",139231.346121324,117021.977349972,128126.661735648,"ISL","Iceland"
"Israel",97304.6977014053,88707.4909392933,93006.0943203493,"ISR","Israel"
"Italy",87997.1341572046,77489.5761047519,82743.3551309782,"ITA","Italy"
"Kazakhstan",34843.1486151276,25172.9568090858,30008.0527121067,"KAZ","Kazakhstan"
"Kyrgyzstan",6571.75498099204,5084.86282654094,5828.30890376649,"KGZ","Kyrgyzstan"
"Lithuania",63061.0071839844,43478.672875211,53269.8400295977,"LTU","Lithuania"
"Luxembourg",227069.003305595,206608.531957325,216838.76763146,"LUX","Luxembourg"
"Latvia",59606.1707891554,42385.6861583041,50995.9284737298,"LVA","Latvia"
"Moldova",10633.4448629454,7566.9217927678,9100.18332785659,"MDA","Moldova"
"Macedonia",20118.3333294454,16445.4788116954,18281.9060705704,"MKD","Macedonia"
"Malta",67073.4898251326,59490.3579512963,63281.9238882145,"MLT","Malta"
"Montenegro",25723.2147327291,21718.8422300174,23721.0284813733,"MNE","Montenegro"
"Netherlands",127847.154648126,116335.300959372,122091.227803749,"NLD","Netherlands"
"Norway",170127.04012617,153079.955173265,161603.497649718,"NOR","Norway"
"Poland",47964.0680839215,37263.6467816979,42613.8574328097,"POL","Poland"
"Portugal",62542.1767738709,52770.1784568615,57656.1776153662,"PRT","Portugal"
"Romania",33082.9256383311,25504.2309688036,29293.5783035673,"ROU","Romania"
"Russian Federation",40099.8789174234,27331.8740450731,33715.8764812482,"RUS","Russian Federation"
"Serbia",23878.4466849219,20601.6920801251,22240.0693825235,"SRB","Serbia"
"Slovakia",68075.178578337,54771.2753000496,61423.2269391933,"SVK","Slovakia"
"Slovenia",68224.8478822961,56396.6755197806,62310.7617010383,"SVN","Slovenia"
"Sweden",126974.690471499,115394.025118354,121184.357794926,"SWE","Sweden"
"Tajikistan",6373.42520073546,5292.61177448426,5833.01848760986,"TJK","Tajikistan"
"Turkmenistan",20961.9739819365,16112.9620606659,18537.4680213012,"TKM","Turkmenistan"
"Turkey",42606.6562020248,33499.1444316099,38052.9003168174,"TUR","Turkey"
"Ukraine",10568.9431483931,6694.45172842661,8631.69743840988,"UKR","Ukraine"
"Uzbekistan",7091.98490611014,5509.12215380133,6300.55352995573,"UZB","Uzbekistan"
