x,mx,qx,lx,dx,ex,,mx,qx,lx,dx,ex
0,0.004208,0.004200,100000.0,420.0,79.25,,0.003554,0.003548,100000.0,354.8,82.93
1,0.000257,0.000257,99580.0,25.6,78.58,,0.000224,0.000224,99645.2,22.3,82.22
2,0.000139,0.000139,99554.5,13.9,77.60,,0.000127,0.000127,99622.9,12.6,81.24
3,0.000114,0.000114,99540.6,11.4,76.61,,0.000098,0.000098,99610.2,9.8,80.25
4,0.000099,0.000099,99529.2,9.9,75.62,,0.000073,0.000073,99600.5,7.3,79.26
5,0.000093,0.000093,99519.4,9.3,74.63,,0.000081,0.000081,99593.2,8.1,78.26
6,0.000080,0.000080,99510.1,8.0,73.64,,0.000075,0.000075,99585.1,7.4,77.27
7,0.000077,0.000077,99502.2,7.7,72.64,,0.000060,0.000060,99577.6,6.0,76.28
8,0.000071,0.000071,99494.5,7.0,71.65,,0.000060,0.000060,99571.7,5.9,75.28
9,0.000065,0.000065,99487.5,6.5,70.65,,0.000062,0.000062,99565.7,6.2,74.28
10,0.000076,0.000076,99481.0,7.5,69.66,,0.000059,0.000059,99559.5,5.9,73.29
11,0.000086,0.000086,99473.5,8.5,68.66,,0.000076,0.000076,99553.7,7.6,72.29
12,0.000099,0.000099,99464.9,9.9,67.67,,0.000069,0.000069,99546.1,6.8,71.30
13,0.000110,0.000110,99455.0,11.0,66.67,,0.000078,0.000078,99539.3,7.8,70.30
14,0.000133,0.000133,99444.1,13.3,65.68,,0.000101,0.000101,99531.5,10.0,69.31
15,0.000179,0.000179,99430.8,17.8,64.69,,0.000119,0.000119,99521.5,11.8,68.32
16,0.000234,0.000233,99413.0,23.2,63.70,,0.000153,0.000153,99509.6,15.2,67.32
17,0.000317,0.000317,99389.8,31.5,62.72,,0.000152,0.000152,99494.4,15.1,66.33
18,0.000406,0.000406,99358.2,40.3,61.74,,0.000218,0.000218,99479.3,21.7,65.34
19,0.000450,0.000450,99317.9,44.7,60.76,,0.000196,0.000196,99457.7,19.5,64.36
20,0.000481,0.000481,99273.2,47.8,59.79,,0.000197,0.000197,99438.2,19.5,63.37
21,0.000508,0.000508,99225.4,50.4,58.82,,0.000224,0.000224,99418.6,22.2,62.38
22,0.000494,0.000494,99175.0,49.0,57.85,,0.000219,0.000219,99396.4,21.7,61.40
23,0.000524,0.000524,99126.0,51.9,56.88,,0.000220,0.000220,99374.7,21.8,60.41
24,0.000544,0.000544,99074.1,53.9,55.90,,0.000226,0.000226,99352.8,22.5,59.42
25,0.000600,0.000599,99020.2,59.4,54.93,,0.000260,0.000260,99330.3,25.8,58.44
26,0.000597,0.000597,98960.9,59.1,53.97,,0.000252,0.000252,99304.6,25.0,57.45
27,0.000604,0.000604,98901.8,59.8,53.00,,0.000286,0.000286,99279.6,28.4,56.47
28,0.000697,0.000696,98842.0,68.8,52.03,,0.000330,0.000330,99251.2,32.7,55.48
29,0.000731,0.000730,98773.2,72.1,51.07,,0.000314,0.000314,99218.5,31.1,54.50
30,0.000750,0.000750,98701.1,74.0,50.10,,0.000374,0.000374,99187.4,37.1,53.52
31,0.000830,0.000829,98627.0,81.8,49.14,,0.000394,0.000394,99150.3,39.1,52.54
32,0.000859,0.000858,98545.2,84.6,48.18,,0.000482,0.000482,99111.2,47.7,51.56
33,0.000915,0.000914,98460.6,90.0,47.22,,0.000500,0.000500,99063.4,49.5,50.58
34,0.000983,0.000982,98370.6,96.6,46.27,,0.000545,0.000545,99013.9,54.0,49.61
35,0.001044,0.001043,98274.0,102.5,45.31,,0.000586,0.000586,98959.9,58.0,48.63
36,0.001163,0.001163,98171.4,114.1,44.36,,0.000655,0.000654,98902.0,64.7,47.66
37,0.001248,0.001247,98057.3,122.3,43.41,,0.000738,0.000738,98837.2,73.0,46.69
38,0.001232,0.001231,97935.0,120.6,42.46,,0.000720,0.000720,98764.3,71.1,45.73
39,0.001395,0.001394,97814.4,136.4,41.51,,0.000846,0.000846,98693.2,83.5,44.76
40,0.001530,0.001528,97678.1,149.3,40.57,,0.000883,0.000882,98609.7,87.0,43.80
41,0.001733,0.001732,97528.8,168.9,39.63,,0.000993,0.000993,98522.7,97.8,42.84
42,0.001845,0.001843,97359.9,179.5,38.70,,0.001052,0.001051,98424.9,103.4,41.88
43,0.002070,0.002068,97180.4,200.9,37.77,,0.001183,0.001183,98321.4,116.3,40.92
44,0.002133,0.002131,96979.5,206.7,36.85,,0.001329,0.001328,98205.1,130.4,39.97
45,0.002297,0.002294,96772.9,222.0,35.93,,0.001437,0.001436,98074.7,140.8,39.02
46,0.002455,0.002452,96550.9,236.8,35.01,,0.001541,0.001540,97933.9,150.8,38.08
47,0.002731,0.002728,96314.1,262.7,34.09,,0.001701,0.001700,97783.0,166.2,37.14
48,0.002874,0.002870,96051.4,275.6,33.18,,0.001825,0.001823,97616.8,178.0,36.20
49,0.003159,0.003154,95775.7,302.1,32.28,,0.001937,0.001935,97438.9,188.5,35.26
50,0.003381,0.003376,95473.7,322.3,31.38,,0.002138,0.002136,97250.3,207.7,34.33
51,0.003551,0.003545,95151.4,337.3,30.48,,0.002366,0.002363,97042.6,229.3,33.40
52,0.003926,0.003918,94814.1,371.5,29.59,,0.002584,0.002581,96813.3,249.9,32.48
53,0.004086,0.004077,94442.6,385.1,28.70,,0.002759,0.002756,96563.4,266.1,31.56
54,0.004440,0.004430,94057.5,416.7,27.82,,0.002956,0.002952,96297.3,284.3,30.65
55,0.004898,0.004886,93640.8,457.5,26.94,,0.003270,0.003265,96013.1,313.5,29.74
56,0.005395,0.005381,93183.3,501.4,26.07,,0.003627,0.003621,95699.6,346.5,28.83
57,0.005887,0.005870,92681.9,544.0,25.21,,0.003903,0.003896,95353.1,371.5,27.94
58,0.006451,0.006430,92137.9,592.5,24.35,,0.004334,0.004324,94981.7,410.7,27.04
59,0.007059,0.007034,91545.4,644.0,23.51,,0.004741,0.004730,94570.9,447.3,26.16
60,0.007778,0.007748,90901.4,704.3,22.67,,0.005117,0.005104,94123.6,480.4,25.28
61,0.008576,0.008539,90197.1,770.2,21.85,,0.005615,0.005600,93643.2,524.4,24.41
62,0.009321,0.009278,89426.9,829.7,21.03,,0.006323,0.006303,93118.8,587.0,23.54
63,0.010452,0.010398,88597.2,921.2,20.22,,0.006856,0.006832,92531.9,632.2,22.69
64,0.011180,0.011118,87676.0,974.8,19.43,,0.007373,0.007346,91899.7,675.1,21.84
65,0.012283,0.012208,86701.2,1058.5,18.64,,0.008027,0.007995,91224.6,729.3,21.00
66,0.013661,0.013568,85642.7,1162.0,17.87,,0.008899,0.008860,90495.2,801.8,20.17
67,0.014598,0.014493,84480.7,1224.3,17.10,,0.009568,0.009523,89693.5,854.1,19.34
68,0.016023,0.015896,83256.3,1323.4,16.35,,0.010433,0.010379,88839.3,922.1,18.52
69,0.017359,0.017209,81932.9,1410.0,15.60,,0.011426,0.011361,87917.3,998.9,17.71
70,0.018871,0.018695,80522.9,1505.4,14.87,,0.012681,0.012601,86918.4,1095.3,16.91
71,0.020878,0.020663,79017.5,1632.7,14.14,,0.013877,0.013781,85823.2,1182.8,16.12
72,0.023406,0.023135,77384.8,1790.3,13.43,,0.016044,0.015916,84640.4,1347.2,15.34
73,0.026141,0.025803,75594.5,1950.6,12.74,,0.017700,0.017545,83293.2,1461.4,14.58
74,0.029020,0.028605,73643.9,2106.6,12.06,,0.019486,0.019298,81831.8,1579.2,13.83
75,0.032876,0.032345,71537.3,2313.8,11.40,,0.022255,0.022011,80252.6,1766.4,13.09
76,0.036476,0.035822,69223.5,2479.8,10.77,,0.025369,0.025052,78486.2,1966.2,12.37
77,0.040614,0.039806,66743.7,2656.8,10.15,,0.028178,0.027787,76520.0,2126.3,11.68
78,0.044747,0.043767,64086.9,2804.9,9.55,,0.031865,0.031365,74393.8,2333.3,11.00
79,0.049890,0.048676,61282.0,2982.9,8.96,,0.035010,0.034408,72060.4,2479.5,10.34
80,0.055981,0.054457,58299.1,3174.8,8.39,,0.039695,0.038922,69581.0,2708.2,9.69
81,0.062895,0.060978,55124.3,3361.4,7.85,,0.044925,0.043938,66872.7,2938.2,9.06
82,0.070126,0.067751,51762.9,3507.0,7.33,,0.051057,0.049786,63934.5,3183.1,8.45
83,0.079964,0.076890,48256.0,3710.4,6.82,,0.059202,0.057500,60751.4,3493.2,7.87
84,0.090260,0.086362,44545.6,3847.1,6.35,,0.067236,0.065049,57258.2,3724.6,7.32
85,0.100929,0.096080,40698.5,3910.3,5.90,,0.076619,0.073792,53533.6,3950.3,6.80
86,0.114589,0.108379,36788.2,3987.1,5.48,,0.087955,0.084250,49583.3,4177.4,6.30
87,0.128256,0.120527,32801.1,3953.4,5.08,,0.100071,0.095303,45405.9,4327.3,5.83
88,0.145079,0.135267,28847.7,3902.1,4.71,,0.114565,0.108358,41078.6,4451.2,5.39
89,0.163470,0.151119,24945.6,3769.7,4.37,,0.129490,0.121616,36627.4,4454.5,4.99
90,0.179272,0.164525,21175.8,3483.9,4.06,,0.147050,0.136979,32172.9,4407.0,4.61
91,0.199555,0.181450,17691.9,3210.2,3.76,,0.165974,0.153256,27765.9,4255.3,4.26
92,0.222603,0.200309,14481.7,2900.8,3.48,,0.185106,0.169425,23510.6,3983.3,3.94
93,0.246316,0.219307,11580.9,2539.8,3.22,,0.206525,0.187195,19527.3,3655.4,3.64
94,0.271142,0.238772,9041.1,2158.8,2.99,,0.230003,0.206281,15871.9,3274.1,3.37
95,0.302417,0.262696,6882.3,1808.0,2.77,,0.260357,0.230368,12597.8,2902.1,3.11
96,0.332458,0.285071,5074.4,1446.6,2.58,,0.284553,0.249110,9695.7,2415.3,2.89
97,0.362213,0.306672,3627.8,1112.6,2.41,,0.313245,0.270828,7280.4,1971.7,2.69
98,0.383840,0.322035,2515.3,810.0,2.25,,0.339652,0.290344,5308.7,1541.3,2.50
99,0.446537,0.365036,1705.3,622.5,2.08,,0.375917,0.316440,3767.3,1192.1,2.31
100,0.481694,0.388198,1082.8,420.3,1.99,,0.409183,0.339686,2575.2,874.8,2.15
